city_code,census_year,total_population,population_under_15,population_15_to_64,population_over_65,male_total_population,male_population_under_15,male_population_15_to_64,male_population_over_65,female_total_population,female_population_under_15,female_population_15_to_64,female_population_over_65
01453,2010,9292,1583,5618,2091,4345,782,2658,905,4947,801,2960,1186
01453,2015,10233,1609,6007,2617,4772,806,2860,1106,5461,803,3147,1511
01454,2020,6319,649,3011,2659,2912,308,1480,1124,3407,341,1531,1535
01454,2010,7087,809,3773,2505,3270,406,1836,1028,3817,403,1937,1477
01454,2015,6689,721,3309,2659,3076,355,1602,1119,3613,366,1707,1540
01455,2020,3520,353,1706,1461,1662,174,871,617,1858,179,835,844
01455,2010,4042,402,2162,1478,1913,191,1066,656,2129,211,1096,822
01455,2015,3777,358,1896,1523,1787,171,953,663,1990,187,943,860
01456,2020,2605,221,1178,1206,1215,125,585,505,1390,96,593,701
01456,2010,3328,342,1731,1255,1566,177,853,536,1762,165,878,719
01456,2015,2976,275,1443,1258,1393,149,715,529,1583,126,728,729
01457,2020,3500,263,1687,1550,1708,133,931,644,1792,130,756,906
01457,2010,4532,444,2496,1592,2158,210,1270,678,2374,234,1226,914
01457,2015,4044,357,2082,1605,1936,169,1098,669,2108,188,984,936
01458,2020,8314,1085,4469,2759,3877,547,2162,1168,4437,538,2307,1591
01458,2010,7859,1070,4592,2197,3699,524,2232,943,4160,546,2360,1254
01458,2015,8111,1057,4450,2603,3719,510,2099,1109,4392,547,2351,1494
01459,2020,9668,927,4992,3749,4495,430,2479,1586,5173,497,2513,2163
01459,2010,10956,1265,6025,3666,5171,663,2920,1588,5785,602,3105,2078
01459,2015,10292,1116,5437,3735,4826,541,2690,1592,5466,575,2747,2143
01460,2020,10348,1195,5741,3314,5363,642,3210,1446,4985,553,2531,1868
01460,2010,11545,1639,6970,2936,5768,824,3658,1286,5777,815,3312,1650
01460,2015,10826,1415,6141,3234,5442,731,3259,1420,5384,684,2882,1814
01461,2020,4733,594,2406,1731,2260,295,1199,764,2473,299,1207,967
01461,2010,5477,772,3096,1609,2589,404,1512,673,2888,368,1584,936
01461,2015,5069,648,2703,1672,2405,322,1334,724,2664,326,1369,948
01462,2020,2376,250,1355,766,1228,123,772,328,1148,127,583,438
01462,2010,2814,324,1637,853,1401,179,860,362,1413,145,777,491
01462,2015,2555,288,1451,816,1273,152,777,344,1282,136,674,472
01463,2020,1306,100,847,305,653,46,432,142,653,54,415,163
01463,2010,1394,130,964,294,779,60,587,128,615,70,377,166
01463,2015,1211,116,770,311,604,58,396,138,607,58,374,173
01464,2020,3192,308,1470,1414,1497,170,743,584,1695,138,727,830
01464,2010,3832,400,1927,1505,1757,208,938,611,2075,192,989,894
01464,2015,3596,360,1709,1527,1656,181,865,610,1940,179,844,917
01465,2020,2926,279,1451,1196,1425,161,749,515,1501,118,702,681
01465,2010,3565,385,1978,1202,1705,216,974,515,1860,169,1004,687
01465,2015,3228,307,1733,1188,1567,164,885,518,1661,143,848,670
01468,2020,3126,316,1514,1257,1491,160,789,523,1635,156,725,734
01468,2010,3775,365,2032,1378,1800,194,1032,574,1975,171,1000,804
01468,2015,3547,350,1827,1370,1718,173,969,576,1829,177,858,794
01469,2020,4145,369,2075,1699,2038,197,1095,744,2107,172,980,955
01469,2010,5178,548,2870,1760,2513,281,1468,764,2665,267,1402,996
01469,2015,4659,431,2495,1728,2287,237,1291,755,2372,194,1204,973
01470,2020,706,44,432,208,365,22,238,97,341,22,194,111
01470,2010,995,53,696,246,540,17,419,104,455,36,277,142
01470,2015,832,45,558,229,435,16,317,102,397,29,241,127
01471,2020,1528,140,770,593,805,73,456,264,723,67,314,329
01471,2010,1907,176,1066,665,973,88,592,293,934,88,474,372
01471,2015,1767,183,958,626,938,103,555,280,829,80,403,346
01472,2020,1370,120,691,559,681,68,370,243,689,52,321,316
01472,2010,1710,193,897,620,838,89,466,283,872,104,431,337
01472,2015,1525,154,774,597,754,76,407,271,771,78,367,326
01481,2020,3908,323,1857,1728,1776,172,937,667,2132,151,920,1061
01481,2010,5078,479,2658,1941,2295,266,1261,768,2783,213,1397,1173
01481,2015,4497,427,2179,1891,2024,234,1040,750,2473,193,1139,1141
